# cfs = cubic feet per second
#
# STATION = U.S. Geological Survey station identification number
# trimQ2   =   2-year peak streamflow in cfs by trimmed mean as explained in text
# trimQ5   =   5-year peak streamflow in cfs by trimmed mean as explained in text
# trimQ10  =  10-year peak streamflow in cfs by trimmed mean as explained in text
# trimQ25  =  25-year peak streamflow in cfs by trimmed mean as explained in text
# trimQ50  =  50-year peak streamflow in cfs by trimmed mean as explained in text
# trimQ100 = 100-year peak streamflow in cfs by trimmed mean as explained in text
# trimQ200 = 200-year peak streamflow in cfs by trimmed mean as explained in text
# trimQ250 = 250-year peak streamflow in cfs by trimmed mean as explained in text
# trimQ500 = 500-year peak streamflow in cfs by trimmed mean as explained in text
#
STATION,trimQ2,trimQ5,trimQ10,trimQ25,trimQ50,trimQ100,trimQ200,trimQ250,trimQ500
08039100,3707,6834,9194,12541,15372,18349,21577,22679,26316
08039500,16237,27965,36972,48451,57973,68434,79817,83707,96584
08039900,22.85,40.65,55.96,77.39,95.80,118,144,154,186
08041000,32342,54538,70271,88996,104345,120216,136841,142386,160046
08041400,193,406,652,1107,1580,2209,3151,3524,4970
08041500,9792,20890,30735,45376,57989,73785,92349,99037,122389
08041700,4354,9025,14072,23660,33666,47060,66391,74078,103834
08042000,5751,7102,7824,8613,9127,9592,10019,10150,10540
08042500,5721,8189,9691,11491,12748,13977,15173,15550,16706
08042550,221,314,431,673,947,1329,1936,2201,3297
08042700,1713,3193,4342,5971,7313,8769,10357,10899,12689
08042800,2379,6766,11808,21593,31901,45306,65620,73689,104748
08043500,7378,11929,15054,18953,22083,25206,28336,29355,32546
08043950,3039,8257,14638,28114,44036,65829,100741,115249,171129
08044200,362,830,1400,2390,3616,5420,8083,9176,13309
08044800,4396,9510,14055,21009,27521,35102,43992,47193,58373
08045500,5469,7125,7816,8523,8940,9267,9543,9623,9850
08046000,2769,5971,9610,16246,23095,32229,45658,50951,71325
08047500,9046,18368,27591,45279,64380,87704,118084,129678,172900
08048900,824,1219,1346,1456,1507,1546,1577,1585,1609
08048970,7247,11282,13310,15338,16558,17591,18486,18749,19506
08049550,1362,2140,2515,2909,3138,3331,3498,3547,3688
08049580,2725,5175,7047,9627,11792,14036,16428,17233,19845
08049700,3526,6915,9598,13507,16950,20647,24737,26151,30883
08050000,4799,10517,18194,33941,51567,75776,113161,129567,195622
08050200,294,493,623,787,909,1028,1147,1186,1307
08050300,1962,3467,4402,5554,6356,7105,7822,8048,8736
08050400,9308,15736,20000,24948,28897,32771,36495,37690,41396
08050500,9370,18117,23512,29530,34059,37973,41659,42807,46281
08050800,1417,4402,7197,11379,15063,20047,26118,28362,35988
08050840,2475,4903,6530,8419,9981,11576,13197,13689,15222
08051000,6270,14869,22609,33804,43440,55661,70043,75234,93412
08051500,5306,11899,17867,28491,39689,52760,68873,74869,96550
08052630,1184,1992,2496,3159,3637,4107,4581,4735,5221
08052700,3415,5814,7131,8522,9399,10169,10862,11071,11687
08053100,205,472,724,1046,1366,1750,2204,2368,2944
08054000,9208,18634,27240,41015,53389,69588,89281,96285,120485
08054200,161,249,302,363,407,447,485,497,532
08055500,18801,40170,60420,90123,115523,148585,187952,202284,252910
08057000,19748,43682,66533,102261,133715,175000,225332,243878,310161
08057500,644,1415,1996,2779,3423,4047,4691,4906,5596
08058000,571,1009,1263,1541,1723,1887,2039,2085,2224
08059200,442,569,638,709,758,801,841,853,889
