# This data file contains the watershed characteristics derived
# from Asquith and Slade (1997) and a digital processing and 
# verification step conducted by colleagues at Texas Tech University
# in 2007.
#
# These watershed characteristics were used in multi-linear regression
# analysis described in Asquith and Roussel (2009).
#
# STATION = U.S. Geological Survey station identification number
# CDA = contributing drainage area in square miles
# MCS = dimensionless main-channel slope
# MAP = mean annual precipitation in inches
# YRS = years of record used
STATION,CDA,MCS,MAP,YRS
08102900,0.9,0.0117,29,8
08103900,33.3,0.00685,30,44
08104000,1240,0.00199,29,43
08104700,248,0.00309,31,11
08104850,8.9,0.00791,30,8
08104900,133,0.00376,31,39
08105000,405,0.00303,31,39
08105100,83.1,0.00304,32,36
08105400,599,0.00277,32,19
08105700,738,0.0024,32,15
08105900,3.52,0.00249,33,8
08106500,7065,0.00084,31,36
08108200,44.8,0.00194,35,11
08108800,0.14,0.00829,38,9
08109700,236,0.00129,35,44
08109800,244,0.00137,36,44
08110000,1009,0.00078,36,42
08110100,195,0.00157,36,44
08110350,4.42,0.00292,38,9
08110430,57.1,0.00137,39,28
08110500,968,0.00073,38,14
08111100,0.75,0.00748,39,9
08111700,376,0.00152,40,36
08114900,5.78,0.00061,43,8
08115000,42.8,0.00054,43,58
08115500,26.2,0.00083,43,8
08116400,8.65,0.00064,43,21
08117500,727,0.00076,42,51
08117995,498,0.00218,18,17
08119000,42.6,0.00355,19.5,18
08120500,188,0.00266,20,39
08121500,230,0.00244,18,9
08123500,177,0.00319,21,12
08123620,41.8,0.0018,16,9
08123750,2.38,0.00568,17.5,10
08123760,0.4,0.01993,18,9
08123800,1988,0.00145,17,30
08123920,3.71,0.04279,19.5,8
08124000,5047,0.00088,15.5,14
08126380,6098,0.00123,16.5,41
08127000,450,0.00312,24.5,50
08127100,2.73,0.01445,20,10
08128000,354,0.00253,20,74
08128400,1611,0.00144,17,45
08128500,1685,0.00143,17,31
08129300,405,0.00253,18,43
08130500,198,0.00297,19,44
08131000,671,0.00249,18,30
08131400,81.1,0.0044,20,30
08133300,3.25,0.01454,17,10
08133500,568,0.00201,17,63
08133800,2.03,0.01553,18.5,10
08134000,1191,0.00179,18,81
08134300,0.59,0.01395,19,10
08134400,0.19,0.01794,19,10
08135000,1450,0.00157,18.5,17
08136000,4411,0.00143,17,15
08136200,12,0.00256,21,9
08136500,5443,0.0013,18,15
08136900,21.8,0.00459,26,8
08137000,4.02,0.00467,26,17
08137500,70,0.0031,26,10
08139000,3.42,0.01062,25,24
08140000,5.41,0.00847,25.5,20
08141100,2.17,0.00726,25,9
08143500,1660,0.00187,25,8
08143700,2.48,0.01725,26.5,9
08144500,1128,0.00181,21,88
08144600,1626,0.00168,22,24
08145000,588,0.00203,24.5,23
08145100,4.05,0.00659,25,8
08146000,3039,0.00152,24,47
08148500,914,0.00225,22,65
08150000,1851,0.00189,22.5,88
08150200,0.58,0.03107,23.5,8
08150700,3242,0.00166,23,36
08150800,215,0.00488,26,42
08150900,0.4,0.02891,25.5,9
08151000,3742,0.00154,23,15
08151300,5.66,0.01438,26,8
08151500,4192,0.00156,23.5,67
08152000,346,0.0047,28,38
08152700,3.2,0.00749,30,8
08152800,15.2,0.00898,28,8
08152900,369,0.00334,28,25
08153000,647,0.00263,28.5,10
08153100,1.37,0.01314,30.5,9
08153500,901,0.00276,30,67
08154000,1294,0.00251,30,15
08154700,22.3,0.00906,31.5,28
08155200,89.7,0.00428,32,25
08155240,107,0.00323,32,18
08155300,116,0.00357,32,31
08155400,125,0.00328,32,8
08158700,124,0.00295,32.5,27
08158810,12.2,0.01052,33,28
08158840,8.24,0.00991,32.5,29
08158900,0.18,0.02355,32,9
08159150,4.61,0.00728,32,17
08159450,5.22,0.00775,36,10
08160000,1.48,0.01325,36.5,26
08160800,17.3,0.00343,40.5,44
08161580,0.68,0.00214,41,8
08162600,145,0.00063,42,34
08163500,108,0.00231,38,59
08164000,817,0.00103,37.5,68
08164300,332,0.00158,38.5,45
08164350,437,0.00119,39,12
08164390,579,0.00076,38,9
08164450,289,0.00113,41,29
08164500,826,0.00091,40,42
08164503,178,0.00052,41,29
08164504,53.9,0.00055,41.4,10
08164600,91.7,0.00129,37,36
08164800,68.3,0.00089,38,36
08165300,168,0.00385,27,39
08165500,288,0.00362,27.5,41
08166000,114,0.00474,27,57
08166200,510,0.00317,27,21
08166300,0.46,0.04244,29,9
08166500,762,0.00281,28.5,8
08167000,839,0.00284,28.5,68
08167500,1315,0.00205,30,83
08167600,10.9,0.01473,33,14
08168500,1518,0.00187,31,36
08168720,0.48,0.02373,32.5,9
08168750,0.32,0.03107,32.5,9
08169500,1652,0.00189,31.5,13
08169750,5.46,0.00295,33,8
08169850,0.24,0.00631,34.5,9
08170500,48.9,0.00481,33.3,9
08171000,355,0.0036,32.5,80
08171300,412,0.00324,32.5,50
08172000,838,0.00248,33,67
08172100,0.44,0.01491,34,9
08173000,309,0.00238,35,33
08173500,1249,0.00229,33.5,28
08174600,460,0.00148,36.5,26
08175000,549,0.00157,33,51
08176000,4923,0.00121,34,23
08176200,15.5,0.00349,35,8
08176500,5198,0.0011,34,29
08176550,167,0.0012,32,20
08176600,0.48,0.00884,34,9
08176900,357,0.00196,34,28
08177000,369,0.00157,34,31
08177300,28,0.00326,34,28
08177500,514,0.00145,34,17
08178500,2.64,0.00565,30,14
08178600,9.54,0.00891,32,9
08178640,2.45,0.01555,32,13
08178736,0.45,0.01159,30,8
08178880,427,0.00376,30,24
08179000,474,0.00331,30,42
08179100,56.3,0.00925,30,25
08179200,0.3,0.01733,30,8
08181000,5.57,0.01354,31,12
08181200,1.08,0.01676,31,9
08181400,15,0.01074,31,38
08182400,7.01,0.00612,30,21
08183900,68.4,0.0067,32,15
08184000,198,0.00421,32.5,20
08185000,274,0.00347,32.5,32
08186000,827,0.00225,32,47
08186500,239,0.00145,32,31
08187000,3.29,0.0092,30,19
08187900,8.43,0.00576,31,20
08188400,3.02,0.00629,33.5,9
08189200,87.8,0.00083,38,36
08189300,204,0.00163,30,21
08189500,690,0.00113,32,67
08189600,0.58,0.00494,31.5,8
08189700,247,0.00182,31,43
08189800,128,0.0011,33,21
08190000,737,0.00326,24.5,84
08190500,694,0.00287,22,61
08191500,1833,0.00226,24.5,11
08192000,1861,0.00296,24,79
08192500,2150,0.00232,24,8
08193000,4082,0.00203,22.5,9
08194000,5171,0.00173,22.5,25
08194200,469,0.00171,23,45
08194550,0.36,0.00947,23.5,9
08194600,8561,0.00134,21.5,13
08195000,389,0.0043,26.5,82
08196000,126,0.00506,26,54
08197500,631,0.00397,26,55
08198000,206,0.00536,27.5,64
08198500,241,0.00436,27,54
08198900,10.6,0.00396,26.5,8
08200000,95.6,0.00792,28.5,54
08200500,132,0.00577,28,12
08200700,149,0.0052,28,46
08200900,0.19,0.00997,28.5,9
08201500,45,0.00763,28,45
08202000,53.2,0.00908,28,9
08202500,87.4,0.00655,28,12
08202700,168,0.0047,27.5,46
08203500,1.21,0.00555,24.5,9
08205500,3429,0.0025,26,91
08206600,4493,0.00191,26,28
08206700,783,0.00152,24.5,42
08207000,5491,0.00183,26,52
08207200,9.33,0.0055,27.5,8
08208000,1171,0.0012,27,76
08210400,155,0.0023,27,20
08211520,90.3,9e-04,31,34
08211550,3.28,0.00199,30,9
08212400,476,0.00212,25,25
08365800,6.4,0.02385,8,20
08370200,2.35,0.01845,8.5,9
08370800,0.74,0.0191,11,8
08374000,1504,0.00771,13,52
08374500,1070,0.00568,12,52
08376300,195,0.00881,14,14
08377600,0.32,0.02304,17,9
08383370,0.37,0.07027,13,41
08385530,9.71,0.00379,15.5,34
